ID_SUCURSAL;ID_NOMBRE_SUCURSAL;DIRECCION;LATITUD;LONGITUD;LOCALIDAD;PROVINCIA;NODO;LAT_NODO;LONG_NODO;ABONO_MENSUAL;Moneda;CPE_ARSAT;CPE_PROPONENTE;Moneda ;TIEMPO_IMPLEMENTACION;MARCA_CPE;MODELO_CPE;COSTO_CPE;VERIF_CARGA;CUIT;RAZON_SOCIAL;DTO_GLOBAL;;
217;C.A.N.E. Tandil;Sarmiento 944;-37,323056;-59,132386;Tandil;Buenos Aires;Tandil;-37,2997389;-59,1336111;550,00;USD;550,00;550,00;USD;30;fiberhome;AN5506-01A;120;Carga correcta;20282994039;JUAN IGNACIO UGALDE;;;
1120;Azul;San MartÌn 455/57;-36,77827;-59,86332;Azul;Buenos Aires;Azul;-36,7699444;-59,8500556;550,00;USD;1.500,00;1.500,00;USD;120;fiberhome;AN5506-01A;120;Carga correcta;20282994039;JUAN IGNACIO UGALDE;;;
1172;Barrio Belgrano - Junin;Padre Ghio 291;-34,57867;-60,948801;Junin;Buenos Aires;Junin;-34,5690194;-60,9316111;89,00; USD ;132,00;360,00;USD;10;MIKROTIK;951;170;Carga correcta;30665549050;GRUPO SERVICIOS JUNIN S.A.;;;
1221;Benito Juarez;Avda. Santana E. Zabalza 1;-37,674191;-59,80603;Benito Juarez;Buenos Aires;Benito Juarez;-37,6795556;-59,8101667;200,00;USD;100,00;500,00;USD;5;Mikrotik;CRS 112;400;Carga correcta;30710031289;Globalweb S.R.L;;;
1230;Bolivar;Avda. Gral. San MartÌn 501;-36,232167;-61,11199;Bolivar;Buenos Aires;San Carlos De Bolivar;-36,2382515;-61,1231215;275,00;USD;0,00;0,00;USD;14;MIKROTIK;RB960PGS;500;Carga correcta;30715815210;BRUNO Y ASOCIADOS SERVICIOS TECNOLOGICOS S.A.;;;
1510;Colon (Ba);Calle 47 N∞ 901;-33,8929;-61,10041;Colon;Buenos Aires;Colon;-33,8978634;-61,0995605;88,90;USD;635,00;635,00;USD;25;huawei;EG8141A5 o similar;48,26;Carga correcta;30545748831;COOPERATIVA DE PROVISI”N DE SERVICIOS EL…CTRICOS, PUBLICOS,SOCIALES, VIVIENDA, OBRAS Y CONSUMO DE COLON BUENOS AIRES LIMITADA;;;
1654;Dardo Rocha;Calle 42 Esq. 21 - La Plata;-34,92127;-57,97185;La Plata;Buenos Aires;La Plata;-34,9425917;-57,9745806;600,00;USD;2.928,00;3.475,00;USD;10;Huawei;S5735-L8T4X-QA-V2;547;Carga correcta;30714627356;Soluciones Wisp S.A.;;;
1930;Los Toldos;BmÈ. Mitre 696;-34,994282;-61,035709;Los Toldos;Buenos Aires;Los Toldos;-35,001583;-61,040231;181,50;USD;150,00;300,00;USD;10;Huawei ;HG8310M;300;Carga correcta;33598217489;Coop. Electrica de Gral. Viamonte;;;
2120;Junin;Mayor LÛpez 26;-34,593509;-60,945325;Junin;Buenos Aires;Junin;-34,5690194;-60,9316111;89,00; USD ;132,00;360,00;USD;10;MIKROTIK;951;170;Carga correcta;30665549050;GRUPO SERVICIOS JUNIN S.A.;;;
2580;Nueve De Julio;Rioja Y Avda. Gral. Vedia;-35,44543;-60,88324;9 De Julio;Buenos Aires;9 De Julio;-35,4406889;-60,8725;30,25;USD;242,00;412,60;USD;10;MIKROTIK;RB760IGS;200;Carga correcta;30716850419;NET NUEVE SAS;;;
2880;Rauch;Avda. San MartÌn 501;-36,775648;-59,090258;Rauch;Buenos Aires;Rauch;-36,775611;-59,077289;200,00;USD;100,00;500,00;USD;5;Mikrotik;CRS 112;400;Carga correcta;30710031289;Globalweb S.R.L;;;
2880;Rauch;Avda. San MartÌn 501;-36,775648;-59,090258;Rauch;Buenos Aires;Rauch;-36,775611;-59,077289;550,00;USD;1.500,00;1.500,00;USD;120;fiberhome;AN5506-01A;120;Carga correcta;20282994039;JUAN IGNACIO UGALDE;;;
1207;Belen;Lavalle 305;-27,65026;-67,02673;Belen;Catamarca;Belen;-27,6467222;-67,0203889;474,33;USD;1.500,00;2.350,00;USD;15;MikroTik ;RB5009UG+S+IN C/SFP ++;850;Carga correcta;30716161141;GESTION INTEGRAL DE PROYECTOS S.A.S.;5% y 3%;;
2903;Recreo;Pte. PerÛn Y Sarmiento;-29,278398;-65,059351;Recreo;Catamarca;Recreo;-29,2863647;-65,0554615;474,33;USD;1.500,00;2.350,00;USD;15;MikroTik ;RB5009UG+S+IN C/SFP ++;850;Carga correcta;30716161141;GESTION INTEGRAL DE PROYECTOS S.A.S.;5% y 3%;;
