ID_SUCURSAL;ID_NOMBRE_SUCURSAL;DIRECCION;LATITUD;LONGITUD;LOCALIDAD;PROVINCIA;NODO;LAT_NODO;LONG_NODO;ABONO_MENSUAL;Moneda;CPE_ARSAT;CPE_PROPONENTE;Moneda ;TIEMPO_IMPLEMENTACION;MARCA_CPE;MODELO_CPE;COSTO_CPE;VERIF_CARGA;CUIT;RAZON_SOCIAL;DTO_GLOBAL;;
217;C.A.N.E. Tandil;Sarmiento 944;-37,323056;-59,132386;Tandil;Buenos Aires;Tandil;-37,2997389;-59,1336111;550,00;USD;550,00;550,00;USD;30;fiberhome;AN5506-01A;120;Carga correcta;20282994039;JUAN IGNACIO UGALDE;;;
220;C.A.N.E. Mar Del Plata;MartÌn Miguel De G¸emes 2551;-38,012884;-57,539518;Mar Del Plata;Buenos Aires;Mar Del Plata;-37,9973778;-57,5503917;; USD ;;;USD;;;;;;;;;;
1029;Anexo Operativo San Nicolas;Avda. Coronel RamÛn L. FalcÛn 331;-33,338309;-60,213085;San Nicolas;Buenos Aires;San Nicolas De Los Arroyos;-33,338883;-60,200961;; USD ;;;USD;;;;;;;;;;
1110;Ayacucho;25 De Mayo 1199;-37,152463;-58,487445;Ayacucho;Buenos Aires;Ayacucho;-37,1495722;-58,4707222;; USD ;;;USD;;;;;;;;;;
1120;Azul;San MartÌn 455/57;-36,77827;-59,86332;Azul;Buenos Aires;Azul;-36,7699444;-59,8500556;550,00;USD;1.500,00;1.500,00;USD;120;fiberhome;AN5506-01A;120;Carga correcta;20282994039;JUAN IGNACIO UGALDE;;;
1140;Balcarce;Calle 15 N∞ 551;-37,844702;-58,255198;Balcarce;Buenos Aires;Balcarce;-37,8497917;-58,2492611;; USD ;;;USD;;;;;;;;;;
1172;Barrio Belgrano - Junin;Padre Ghio 291;-34,57867;-60,948801;Junin;Buenos Aires;Junin;-34,5690194;-60,9316111;89,00; USD ;132,00;360,00;USD;10;MIKROTIK;951;170;Carga correcta;30665549050;GRUPO SERVICIOS JUNIN S.A.;;;
1180;Barrio Independencia;Avda. Independencia 3617-M.Del Plata;-38,011633;-57,565184;Mar Del Plata;Buenos Aires;Mar Del Plata;-37,9973778;-57,5503917;; USD ;;;USD;;;;;;;;;;
1221;Benito Juarez;Avda. Santana E. Zabalza 1;-37,674191;-59,80603;Benito Juarez;Buenos Aires;Benito Juarez;-37,6795556;-59,8101667;200,00;USD;100,00;500,00;USD;5;Mikrotik;CRS 112;400;Carga correcta;30710031289;Globalweb S.R.L;;;
1230;Bolivar;Avda. Gral. San MartÌn 501;-36,232167;-61,11199;Bolivar;Buenos Aires;San Carlos De Bolivar;-36,2382515;-61,1231215;275,00;USD;0,00;0,00;USD;14;MIKROTIK;RB960PGS;500;Carga correcta;30715815210;BRUNO Y ASOCIADOS SERVICIOS TECNOLOGICOS S.A.;;;
1240;Bragado;Avda. Pellegrini 1474;-35,116782;-60,487403;Bragado;Buenos Aires;Bragado;-35,1283333;-60,4711111;; USD ;;;USD;;;;;;;;;;
1267;Campana;Avda. Ing. A. Roca ¬†152;-34,159403;-58,958377;Campana;Buenos Aires;Campana;-34,1805556;-58,9688889;; USD ;;;USD;;;;;;;;;;
1310;Capitan Sarmiento;Avda. Pte. J. D. PerÛn 402;-34,176647;-59,793515;Capitan Sarmiento;Buenos Aires;Capitan Sarmiento;-34,1718861;-59,79345;; USD ;;;USD;;;;;;;;;;
